PROTEIN GROUP;GENE;DISTANZA DALL'ER;Q-VALUE DALL'ER;DISTANZA DAL REPLICOMA ;Q-VALUE REPLICOMA;RISULTATO;PREDICTED LOCALIZATION IN INF (analisi con proteine virali);DISTANZA DELLE DISTANCE;DISTANZA DELLE DISTANZE 0-1;TERZILI;top 25%
P45877;PPIC;0,6740802;0,005019894;1,001199;0,03283577;Vicino all'ER;ER;0,3271188;0,950815907;;
Q13424;SNTA1;1,08004;0,1178692;1,402013;0,2990165;Vicino all'ER;ER;0,321973;0,935080887;;
E7EPM6;ACSL1;0,3980878;0,000242424;0,7173054;0,004200627;Vicino all'ER;ER;0,3192176;0,926655322;Q3;x
P48723;HSPA13;0,3505259;0;0,6685093;0,002897727;Vicino all'ER;ER;0,3179834;0,922881339;;
A0A8I5KWQ7;A0A8I5KWQ7;0,3924215;0,000157233;0,3159363;0;Vicino al REPLICOMA;ER;0,0764852;0,184419095;;
Q8WWX9;SELENOM;1,249741;0,2982012;1,566668;0,5748215;Vicino all'ER;ER;0,316927;0,91965104;;
Q9BRX8;PRXL2A;0,8826231;0,02830398;1,198524;0,1036134;Vicino all'ER;ER;0,3159009;0,916513393;;
Q96SL4;GPX7;0,2182338;0;0,5338423;0,000535714;Vicino all'ER;ER;0,3156085;0,915619281;;
Q8N584;TTC39C;1,587661;0,9369368;1,900729;1;Vicino all'ER;Mitochondria;0,313068;0,907850845;;
A0A8V8TM96;CYBC1;0,6786239;0,005239327;0,9909937;0,03050908;Vicino all'ER;ER;0,3123698;0,905715863;;
Q8WUY8;NAT14;0,7499201;0,009494757;1,061941;0,04727899;Vicino all'ER;ER;0,3120209;0,904648983;;
Q4G148;GXYLT1;0,5056237;0,00071831;0,8175216;0,008984211;Vicino all'ER;ER;0,3118979;0,904272869;;
Q12805;EFEMP1;0,819288;0,0166994;1,129211;0,07015955;Vicino all'ER;Mitochondria;0,309923;0,898233946;;
P33527;ABCC1;0,7794908;0,01193548;0,6881695;0,003371681;Vicino al REPLICOMA;PM;0,0913213;0,229785477;;
Q9C0F1;CEP44;1,099762;0,1327992;1,407283;0,3057427;Vicino all'ER;Mitochondria;0,307521;0,89088902;;
Q96HR9;REEP6;0,8390179;0,01979137;1,146465;0,07761905;Vicino all'ER;ER;0,3074471;0,890663046;;
O60762;DPM1;0,4678019;0,000448276;0,7738346;0,006536555;Vicino all'ER;ER;0,3060327;0,886338041;;
Q9BT73;PSMG3;1,178465;0,2039484;1,481637;0,4192617;Vicino all'ER;Mitochondria;0,303172;0,877590485;;
Q8TEW8;PARD3B;1,53217;0,8312402;1,835321;1;Vicino all'ER;ER;0,303151;0,877526271;;
O43156;TTI1;1,392087;0,5500275;1,69366;0,8141304;Vicino all'ER;Mitochondria;0,301573;0,872701003;;
Q9H488;POFUT1;0,2566183;0;0,5581782;0,000864865;Vicino all'ER;ER;0,3015599;0,872660945;;
Q9BWS9;CHID1;0,3784023;7,35E-05;0,6799086;0,003139746;Vicino all'ER;ER;0,3015063;0,872497045;;
Q9NWM8;FKBP14;1,079511;0,1176702;1,380654;0,2697278;Vicino all'ER;ER;0,301143;0,871386133;;
A0A0C4DGT3;IQSEC1;1,373354;0,5121365;1,67293;0,7758207;Vicino all'ER;Cytoplasm;0,299576;0,866594502;;
Q15542;TAF5;1,24053;0,2849247;1,53998;0,5257981;Vicino all'ER;Mitochondria;0,29945;0,866209214;;
Q7Z4W1;DCXR;1,505325;0,7803223;1,804774;1;Vicino all'ER;Cytoplasm;0,299449;0,866206156;;
O75113;N4BP1;1,538709;0,842739;1,837333;1;Vicino all'ER;Nucleus;0,298624;0,86368344;;
A0A024QZX5;SERPINB6;1,291319;0,3613078;1,588781;0,6184374;Vicino all'ER;Golgi apparatus;0,297462;0,860130233;;
Q9UMX5;NENF;1,100823;0,1334903;1,397933;0,2932272;Vicino all'ER;ER;0,29711;0,859053875;;
Q00536;CDK16;1,811234;1;2,10784;1;Vicino all'ER;protein-complex;0,296606;0,857512724;;
A0A7P0Z497;PPIB;0,3593261;0;0,6557776;0,002664671;Vicino all'ER;ER;0,2964515;0,857040289;;
O60613;SELENOF;0,7032117;0,006584795;0,9987056;0,03225641;Vicino all'ER;Mitochondria;0,2954939;0,854112103;;
P45880;VDAC2;0,3472185;0;0,6424304;0,00237395;Vicino all'ER;ER;0,2952119;0,853249793;;
H3BMV3;JPT2;1,291454;0,3613086;1,585583;0,6128526;Vicino all'ER;Cytoplasm;0,294129;0,849938461;;
P0C854;CECR9;1,186979;0,2144578;1,480877;0,4192593;Vicino all'ER;ER;0,293898;0,849232101;;
Q96ME1;FBXL18;1,464839;0,7009094;1,758246;0,9229778;Vicino all'ER;endosome-vesicle;0,293407;0,847730702;;
A0A9L9PY35;POGLUT2;0,5387837;0,001159251;0,8321201;0,009762141;Vicino all'ER;ER;0,2933364;0,847514819;;
A0A1B0GV02;ZEB2;0,8351911;0,0192971;1,128481;0,07012873;Vicino all'ER;ER;0,2932899;0,84737263;;
Q6P1M0;SLC27A4;0,3528716;0;0,6459312;0,002432712;Vicino all'ER;ER;0,2930596;0,84666841;;
O43150;ASAP2;1,715941;1;2,008879;1;Vicino all'ER;Cytoplasm;0,292938;0,846296577;;
O95873;C6orf47;1,068008;0,1099954;1,360835;0,2460324;Vicino all'ER;ER;0,292827;0,845957157;;
A0A7I2V597;BCL2L1;0,5521046;0,001363636;0,8446732;0,0106444;Vicino all'ER;Mitochondria;0,2925686;0,845167011;;
P00167;CYB5A;0,3815193;7,04E-05;0,6734883;0,002940631;Vicino all'ER;ER;0,291969;0,843333532;;
Q9NYL4;FKBP11;0,6192786;0,002668309;0,9112096;0,01700152;Vicino all'ER;ER;0,291931;0,843217334;;
O15020;SPTBN2;1,159768;0,1844869;1,450283;0,3691319;Vicino all'ER;Mitochondria;0,290515;0,838887436;;
Q9NSU2;TREX1;1,009835;0,07385007;1,300321;0,1818758;Vicino all'ER;Mitochondria;0,290486;0,838798759;;
K7EIU8;SMAD4;1,672602;1;1,962806;1;Vicino all'ER;Cytoplasm;0,290204;0,837936449;;
E5RHW4;ERLIN2;0,1812101;0;0,4712651;0,000177165;Vicino all'ER;ER;0,290055;0,837480831;;
O95399;UTS2;1,136309;0,1628145;1,426169;0,3329289;Vicino all'ER;ER;0,28986;0,836884553;;
P30040;ERP29;0,271272;0;0,5610511;0,000930851;Vicino all'ER;ER;0,2897791;0,836637174;;
Q9UJ14;GGT7;0,9080229;0,0341295;1,197641;0,1029986;Vicino all'ER;ER;0,2896181;0,836144862;;
Q96AM1;MRGPRF;1,113775;0,1437311;1,403323;0,3000622;Vicino all'ER;Golgi apparatus;0,289548;0,835930508;;
O95881;TXNDC12;1,189912;0,2176998;1,478915;0,4168493;Vicino all'ER;ER;0,289003;0,834263986;;
P21796;VDAC1;0,2223248;0;0,5111963;0,000375817;Vicino all'ER;ER;0,2888715;0,833861881;;
F8VZX2;PCBP2;1,744908;1;2,033457;1;Vicino all'ER;Nucleus;0,288549;0,832875728;;
P43251;BTD;1,112307;0,1420848;1,400828;0,2966856;Vicino all'ER;ER;0,288521;0,832790109;;
Q8NH64;OR51A7;1,044611;0,09394711;1,333083;0,2140246;Vicino all'ER;Mitochondria;0,288472;0,832640274;;
C9JLU1;POLR2H;1,558513;0,8797031;1,846553;1;Vicino all'ER;Cytoplasm;0,28804;0,831319289;;
P27037;ACVR2A;1,552472;0,8710203;1,840287;1;Vicino all'ER;endosome-vesicle;0,287815;0,830631275;Q2;x
Q9Y6D9;MAD1L1;1,057872;0,1026941;1,345359;0,2281426;Vicino all'ER;Mitochondria;0,287487;0,829628305;;
Q15818;NPTX1;1,156822;0,1816377;1,443953;0,3600724;Vicino all'ER;Golgi apparatus;0,287131;0,828539714;;
A0A8I5KRN5;CHPF2;0,9316179;0,04131114;1,218612;0,1159299;Vicino all'ER;ER;0,2869941;0,828121096;;
Q63HR2;TNS2;1,666868;1;1,953699;1;Vicino all'ER;Cytoplasm;0,286831;0,827622363;;
O75506;HSBP1;1,557441;0,8786262;1,84401;1;Vicino all'ER;Cytoplasm;0,286569;0,82682121;;
Q8IVB4;SLC9A9;0,844431;0,02077715;1,130587;0,07118326;Vicino all'ER;ER;0,286156;0,825558323;;
P42574;CASP3;1,708296;1;1,994419;1;Vicino all'ER;Cytoplasm;0,286123;0,825457414;;
Q9H5K3;POMK;0,8530656;0,02227526;1,13916;0,07398032;Vicino all'ER;ER;0,2860944;0,82536996;;
O75554;WBP4;1,606852;0,9736225;1,892868;1;Vicino all'ER;Nucleus;0,286016;0,825130226;;
Q5QJ74;TBCEL;1,439942;0,6499609;1,725607;0,8671;Vicino all'ER;Cytoplasm;0,285665;0,824056925;;
Q9NXF8;ZDHHC7;1,281569;0,3457052;1,567143;0,57518;Vicino all'ER;Golgi apparatus;0,285574;0,823778661;;
Q6ZT12;UBR3;1,585241;0,9333756;1,870675;1;Vicino all'ER;Cytoplasm;0,285434;0,823350564;;
O95571;ETHE1;1,302275;0,381119;1,587689;0,6167575;Vicino all'ER;Mitochondria;0,285414;0,823289407;;
Q99496;RNF2;1,050015;0,09749643;1,335176;0,216701;Vicino all'ER;Mitochondria;0,285161;0,822515775;;
E7EP72;C19orf25;0,6993318;0,006235154;0,9839749;0,02907444;Vicino all'ER;ER;0,2846431;0,820932121;;
A0A8I5KQJ5;HOOK1;1,819779;1;2,104048;1;Vicino all'ER;Cytoplasm;0,284269;0,819788184;;
Q9NZC3;GDE1;1,267797;0,325553;1,552062;0,5467896;Vicino all'ER;Mitochondria;0,284265;0,819775952;;
P78504;JAG1;1,629495;1;1,913727;1;Vicino all'ER;ER;0,284232;0,819675044;;
Q96L93;KIF16B;1,098255;0,1324108;1,382441;0,273663;Vicino all'ER;Golgi apparatus;0,284186;0,819534383;;
Q9NYB0;TERF2IP;1,202136;0,2326778;1,486258;0,4284671;Vicino all'ER;Mitochondria;0,284122;0,819338681;;
Q5XPI4;RNF123;1,628657;1;1,912736;1;Vicino all'ER;Cytoplasm;0,284079;0,819207194;;
D6RBS5;ELMOD2;0,5440334;0,001244292;0,8280485;0,009517103;Vicino all'ER;ER;0,2840151;0,819011799;;
Q9NV66;TYW1;0,9840938;0,06162104;1,267859;0,1530509;Vicino all'ER;Mitochondria;0,2837652;0,818247645;;
Q70E73;RAPH1;1,557989;0,8787336;1,841628;1;Vicino all'ER;Cytoplasm;0,283639;0,817861746;;
O14545;TRAFD1;1,685805;1;1,969231;1;Vicino all'ER;Cytoplasm;0,283426;0,817210427;;
F5GWH5;TMEM258;1,101213;0,1335509;1,384343;0,2743657;Vicino all'ER;Mitochondria;0,28313;0,816305307;;
Q96Q05;TRAPPC9;1,61619;0,9905677;1,898959;1;Vicino all'ER;endosome-vesicle;0,282769;0,815201427;;
A0A0A0MSE9;PLEKHB2;1,335367;0,4391791;1,618097;0,6772467;Vicino all'ER;Golgi apparatus;0,28273;0,815082172;;
A0A0G2JJD3;ABHD16A;0,3742718;3,88E-05;0,6565981;0,00263834;Vicino all'ER;ER;0,2823263;0,813847723;Q3;x
Q8NBL1;POGLUT1;0,40956;0,000217391;0,6913596;0,003450088;Vicino all'ER;ER;0,2817996;0,81223716;;
O75170;PPP6R2;1,749151;1;2,030905;1;Vicino all'ER;Cytoplasm;0,281754;0,812097722;;
Q9NQ11;ATP13A2;1,291926;0,3624056;1,573565;0,5891153;Vicino all'ER;Golgi apparatus;0,281639;0,811746071;;
Q96F24;NRBF2;1,563243;0,8867227;1,844833;1;Vicino all'ER;Cytoplasm;0,28159;0,811596237;;
Q6ICB0;DESI1;1,839704;1;2,121173;1;Vicino all'ER;Cytoplasm;0,281469;0,811226239;;
Q9NX08;COMMD8;1,63332;1;1,914716;1;Vicino all'ER;endosome-vesicle;0,281396;0,811003017;;
Q8IVP5;FUNDC1;1,216095;0,2507277;1,497234;0,4491378;Vicino all'ER;Mitochondria;0,281139;0,810217152;;
O43741;PRKAB2;1,819971;1;2,101087;1;Vicino all'ER;Cytoplasm;0,281116;0,810146822;;
H0YAH3;GALNT7;1,157305;0,1819931;1,438134;0,3501669;Vicino all'ER;Mitochondria;0,280829;0,809269223;;
P17568;NDUFB7;1,193568;0,2221647;1,474367;0,4084448;Vicino all'ER;Mitochondria;0,280799;0,809177488;;
A0A590UJL0;STS;1,073798;0,1137269;1,354571;0,2384559;Vicino all'ER;Golgi apparatus;0,280773;0,809097984;;
Q8NAT1;POMGNT2;0,7501065;0,009490961;1,030799;0,03925287;Vicino all'ER;ER;0,2806925;0,808851828;;
Q5VW22;AGAP6;1,295179;0,3676229;1,575381;0,5916102;Vicino all'ER;Golgi apparatus;0,280202;0,807351959;Q2;x
A0A3B3IS90;ALG11;0,4832665;0,000460318;0,7634643;0,006124837;Vicino all'ER;ER;0,2801978;0,807339116;;
Q9NP66;HMG20A;1,22369;0,2602198;1,503871;0,4589345;Vicino all'ER;Mitochondria;0,280181;0,807287744;;
Q9NQE9;HINT3;1,681287;1;1,961115;1;Vicino all'ER;endosome-vesicle;0,279828;0,806208327;;
Q14457;BECN1;1,699797;1;1,979543;1;Vicino all'ER;Cytoplasm;0,279746;0,805957585;;
A0A087WW76;ARHGAP21;1,399992;0,5689278;1,679375;0,7882009;Vicino all'ER;Mitochondria;0,279383;0,80484759;;
A0A590UJ73;TSEN34;1,262803;0,3174586;1,542165;0,5338123;Vicino all'ER;Mitochondria;0,279362;0,804783375;;
M0QY01;EPS15L1;1,613397;0,9877189;1,892614;1;Vicino all'ER;PM;0,279217;0,804339989;;
Q8WVX3;C4orf3;1,105559;0,1370035;1,384744;0,275286;Vicino all'ER;Mitochondria;0,279185;0,804242138;;
Q8WWH5;TRUB1;1,879681;1;2,158644;1;Vicino all'ER;Cytoplasm;0,278963;0,803563298;;
H0YIV9;H0YIV9;1,375621;0,5184138;1,654276;0,7421798;Vicino all'ER;Mitochondria;0,278655;0,802621484;;
Q5R3I4;TTC38;1,58501;0,9312626;1,863498;1;Vicino all'ER;Cytoplasm;0,278488;0,802110825;;
Q9Y2B0;CNPY2;0,4926156;0,000567164;0,7707002;0,006427673;Vicino all'ER;ER;0,2780846;0,800877294;;
E9PG40;APP;1,370135;0,5067773;1,648169;0,731305;Vicino all'ER;Golgi apparatus;0,278034;0,800722567;;
A0A2R8YDQ0;VPS33B;1,776193;1;2,054072;1;Vicino all'ER;Cytoplasm;0,277879;0,800248602;;
J3KQJ1;SUMF2;0,5628183;0,001481092;0,8406754;0,01043103;Vicino all'ER;ER;0,2778571;0,800181636;;
Q9Y250;LZTS1;1,015792;0,07690248;1,293598;0,1752676;Vicino all'ER;Golgi apparatus;0,277806;0,80002538;;
P84085;ARF5;1,77444;1;2,052232;1;Vicino all'ER;Cytoplasm;0,277792;0,79998257;;
B4DDL8;DENND2B;0,775939;0,011559;1,053542;0,04477128;Vicino all'ER;ER;0,277603;0,799404639;;
O14925;TIMM23;1,08789;0,1239517;1,365448;0,2513557;Vicino all'ER;Mitochondria;0,277558;0,799267036;;
F5H199;MSRB3;1,369019;0,505172;1,64642;0,7281855;Vicino all'ER;Nucleus;0,277401;0,798786956;;
Q8TCA0;LRRC20;1,698245;1;1,975622;1;Vicino all'ER;Cytoplasm;0,277377;0,798713568;;
Q96GK7;FAHD2A;1,631662;1;1,908774;1;Vicino all'ER;Cytoplasm;0,277112;0,797903241;;
Q14596;NBR1;1,650355;1;1,927348;1;Vicino all'ER;endosome-vesicle;0,276993;0,797539358;;
Q8TBM8;DNAJB14;0,6709172;0,004899464;0,9476569;0,02237099;Vicino all'ER;ER;0,2767397;0,796764808;;
Q96MW5;COG8;1,686467;1;1,962909;1;Vicino all'ER;Cytoplasm;0,276442;0,79585449;;
P43304;GPD2;0,6376049;0,003264209;0,913911;0,01729496;Vicino all'ER;Mitochondria;0,2763061;0,79543893;;
Q9BT17;MTG1;1,100902;0,1336191;1,377095;0,265288;Vicino all'ER;Mitochondria;0,276193;0,795093088;;
Q13332;PTPRS;1,279868;0,3432915;1,555941;0,5544899;Vicino all'ER;Golgi apparatus;0,276073;0,794726148;;
O00214;LGALS8;1,475051;0,7202737;1,750958;0,9125466;Vicino all'ER;Cytoplasm;0,275907;0,794218547;;
Q9Y2Q3;GSTK1;0,5276797;0,000967337;0,8035764;0,008108407;Vicino all'ER;ER;0,2758967;0,794187051;;
Q8N573;OXR1;1,769195;1;2,044967;1;Vicino all'ER;Cytoplasm;0,275772;0,793805739;;
Q99487;PAFAH2;1,381477;0,5311336;1,657238;0,7468452;Vicino all'ER;Nucleus;0,275761;0,793772102;;
Q07352;ZFP36L1;1,687456;1;1,963195;1;Vicino all'ER;Cytoplasm;0,275739;0,79370483;;
Q969S9;GFM2;1,243082;0,2883199;1,518817;0,4864661;Vicino all'ER;protein-complex;0,275735;0,793692599;;
Q96A49;SYAP1;1,417593;0,6053741;1,69331;0,8130021;Vicino all'ER;Cytoplasm;0,275717;0,793637558;;
Q6ZNE5;ATG14;1,099711;0,1328549;1,375186;0,2629426;Vicino all'ER;Mitochondria;0,275475;0,792897561;;
Q8NCE2;MTMR14;1,784334;1;2,059701;1;Vicino all'ER;Cytoplasm;0,275367;0,792567314;;
P16219;ACADS;1,147776;0,1733573;1,423033;0,3287882;Vicino all'ER;Mitochondria;0,275257;0,792230952;Q3;x
Q5H913;ARL13A;1,835333;1;2,110492;1;Vicino all'ER;Cytoplasm;0,275159;0,791931284;;
Q96AY3;FKBP10;0,4498;0,000372549;0,7248646;0,004450301;Vicino all'ER;ER;0,2750646;0,791642624;;
Q13426;XRCC4;1,567845;0,8948003;1,842895;1;Vicino all'ER;protein-complex;0,27505;0,79159798;;
Q9NY97;B3GNT2;1,371675;0,5089868;1,646354;0,7275116;Vicino all'ER;Golgi apparatus;0,274679;0,790463522;;
Q8N5G2;MACO1;0,7204579;0,007586393;0,9951215;0,03190553;Vicino all'ER;ER;0,2746636;0,790416432;;
H3BRS4;HERPUD1;1,198729;0,2287193;1,473265;0,4063745;Vicino all'ER;Mitochondria;0,274536;0,790026252;;
O15230;LAMA5;0,6864927;0,005587121;0,9610274;0,02481837;Vicino all'ER;ER;0,2745347;0,790022276;;
P55039;DRG2;1,819768;1;2,094248;1;Vicino all'ER;Cytoplasm;0,27448;0,789855013;;
Q9H0R6;QRSL1;1,146995;0,1726552;1,421427;0,3266228;Vicino all'ER;Mitochondria;0,274432;0,789708236;;
OC43ORF12;OC43ORF12;1,510216;0,7877592;1,784636;0,9694196;Vicino all'ER;endosome-vesicle;0,27442;0,789671542;;
P16083;NQO2;1,716764;1;1,991145;1;Vicino all'ER;Cytoplasm;0,274381;0,789552287;;
J3QTA2;BAG1;1,742066;1;2,01634;1;Vicino all'ER;Mitochondria;0,274274;0,789225098;;
A0A024R5G9;CTSF;1,275912;0,3369567;1,550093;0,5444698;Vicino all'ER;Golgi apparatus;0,274181;0,788940719;;
Q9NRZ7;AGPAT3;0,696821;0,006141827;0,970613;0,02646622;Vicino all'ER;ER;0,273792;0,78775122;Q2;x
Q9NR19;ACSS2;1,750337;1;2,024009;1;Vicino all'ER;Cytoplasm;0,273672;0,78738428;Q3;x
A0A087WXU0;RMND1;1,046417;0,09496404;1,320085;0,201631;Vicino all'ER;Mitochondria;0,273668;0,787372049;;
Q9H694;BICC1;1,855472;1;2,129074;1;Vicino all'ER;Cytoplasm;0,273602;0,787170231;;
A0A6I8PLD9;KRTCAP2;1,173321;0,1986351;1,446739;0,3638117;Vicino all'ER;Mitochondria;0,273418;0,786607589;;
Q9BYD1;MRPL13;0,6304667;0,003047244;0,9032279;0,01606342;Vicino all'ER;Mitochondria;0,2727612;0,784599202;;
O43819;SCO2;1,112462;0,1428405;1,385188;0,2752228;Vicino all'ER;Mitochondria;0,272726;0,784491566;;
O95302;FKBP9;0,4488131;0,000357143;0,7214773;0,004302147;Vicino all'ER;ER;0,2726642;0,784302591;;
Q70CQ2;USP34;1,299105;0,375381;1,571746;0,5839331;Vicino all'ER;Mitochondria;0,272641;0,78423165;;
O75600;GCAT;1,189231;0,217468;1,46172;0,3886134;Vicino all'ER;Mitochondria;0,272489;0,783766858;;
O15439;ABCC4;0,4449027;0,00034413;0,4287278;2,49E-05;Vicino al REPLICOMA;ER;0,0161749;0;;
Q96AG3;SLC25A46;1,335952;0,4412229;1,60833;0,6587369;Vicino all'ER;Mitochondria;0,272378;0,783427438;;
E7EUN9;DUS2;1,711368;1;1,983705;1;Vicino all'ER;Cytoplasm;0,272337;0,783302067;;
Q8NFV4;ABHD11;1,042606;0,09263882;1,314888;0,1959928;Vicino all'ER;Mitochondria;0,272282;0,783133886;Q3;x
E7ETT1;PCCB;0,7775286;0,01175364;1,049789;0,04381786;Vicino all'ER;Mitochondria;0,2722604;0,783067837;;
A0A804HIB4;TLK2;1,413729;0,5968013;1,68598;0,8000045;Vicino all'ER;Nucleus;0,272251;0,783039093;;
H0Y5F4;AFG1L;1,219912;0,2553091;1,492116;0,4384598;Vicino all'ER;Mitochondria;0,272204;0,782895375;Q2;x
A0A0B4J239;DAD1;0,8562042;0,02295565;1,128353;0,06981444;Vicino all'ER;Mitochondria;0,2721488;0,782726582;;
A0A8I5KUC3;MAOA;1,032456;0,0870143;1,30455;0,1854617;Vicino all'ER;Mitochondria;0,272094;0,782559012;;
Q96SB8;SMC6;1,025288;0,0824329;1,297242;0,1812505;Vicino all'ER;Mitochondria;0,271954;0,782130915;;
Q9Y5Y5;PEX16;1,143812;0,1698675;1,415648;0,3173497;Vicino all'ER;PM;0,271836;0,78177009;;
Q86YV5;PRAG1;1,662607;1;1,934374;1;Vicino all'ER;Cytoplasm;0,271767;0,7815591;;
Q16836;HADH;0,730296;0,008203125;1,002042;0,03288804;Vicino all'ER;Mitochondria;0,271746;0,781494885;;
A0A8V8TPI0;PIGO;0,8121843;0,01576154;1,083693;0,05409293;Vicino all'ER;ER;0,2715087;0,78076926;;
Q9Y3D9;MRPS23;0,7451329;0,009217986;1,016617;0,03582099;Vicino all'ER;Mitochondria;0,2714841;0,780694037;;
A0A3B3IT05;CEP63;1,124616;0,1531561;1,396023;0,2905144;Vicino all'ER;Mitochondria;0,271407;0,780458278;;
A0A3B3ITW1;GSK3B;1,854325;1;2,125612;1;Vicino all'ER;Translation;0,271287;0,780091338;;
Q8N8R3;SLC25A29;1,172558;0,19803;1,443843;0,3590403;Vicino all'ER;Mitochondria;0,271285;0,780085222;;
A0A0A0MR08;USP19;1,510721;0,7900265;1,781669;0,9651572;Vicino all'ER;Cytoplasm;0,270948;0,779054731;;
O14957;UQCR11;1,140111;0,1664518;1,411012;0,3104087;Vicino all'ER;Mitochondria;0,270901;0,778911012;;
Q8N465;D2HGDH;1,10767;0,1386627;1,378447;0,2669168;Vicino all'ER;Mitochondria;0,270777;0,77853184;;
Q9H1K0;RBSN;1,738286;1;2,008992;1;Vicino all'ER;Cytoplasm;0,270706;0,778314734;;
A0A2R8Y5H9;KSR1;1,97761;1;2,248259;1;Vicino all'ER;Cytoplasm;0,270649;0,778140437;;
Q9UKG1;APPL1;1,735107;1;2,005567;1;Vicino all'ER;Cytoplasm;0,27046;0,777562506;;
Q12974;PTP4A2;1,745075;1;2,015528;1;Vicino all'ER;Cytoplasm;0,270453;0,777541101;;
Q8NEN9;PDZD8;1,175153;0,2000236;1,445561;0,3631909;Vicino all'ER;endosome-vesicle;0,270408;0,777403498;;
Q8N335;GPD1L;1,573993;0,9088607;1,844143;1;Vicino all'ER;Cytoplasm;0,27015;0,776614576;;
A0A2U3TZV8;PLCH1;0,4360794;0,000323276;0,7061132;0,003837209;Vicino all'ER;ER;0,2700338;0,776259256;;
A0A8J8YVX4;ODF2;1,008073;0,07262015;1,278061;0,16179;Vicino all'ER;Mitochondria;0,269988;0,776119207;;
Q9BW92;TARS2;1,007969;0,07260102;1,277892;0,1616583;Vicino all'ER;Mitochondria;0,269923;0,775920447;;
Q9NUQ9;CYRIB;1,623112;1;1,893013;1;Vicino all'ER;Cytoplasm;0,269901;0,775853175;;
G8JLB3;PUS1;0,8477667;0,02140394;1,117644;0,06609177;Vicino all'ER;Mitochondria;0,2698773;0,775780704;;
Q9H9A6;LRRC40;1,895128;1;2,16482;1;Vicino all'ER;Cytoplasm;0,269692;0,775214087;;
Q7Z3D4;LYSMD3;0,6633602;0,004375;0,9329998;0,02006522;Vicino all'ER;ER;0,2696396;0,775053856;;
Q9HB66;MKKS;1,096702;0,131464;1,366302;0,2521226;Vicino all'ER;Mitochondria;0,2696;0,774932766;;
Q58WW2;DCAF6;1,763783;1;2,033166;1;Vicino all'ER;Cytoplasm;0,269383;0,774269215;;
O75891;ALDH1L1;1,02034;0,07941633;1,289696;0,1728111;Vicino all'ER;Mitochondria;0,269356;0,774186653;;
A0A994J6T1;RAC1;1,548186;0,8618771;1,817474;1;Vicino all'ER;Cytoplasm;0,269288;0,773978721;;
P20336;RAB3A;1,499464;0,7688804;1,76874;0,9417505;Vicino all'ER;Lysosome;0,269276;0,773942026;;
O15061;SYNM;1,666303;1;1,93552;1;Vicino all'ER;Mitochondria;0,269217;0,773761614;;
Q99757;TXN2;1,025132;0,08218905;1,294337;0,1763647;Vicino all'ER;Mitochondria;0,269205;0,77372492;;
Q02156;PRKCE;1,789916;1;2,058977;1;Vicino all'ER;Cytoplasm;0,269061;0,773284591;;
P07203;GPX1;1,497625;0,7641624;1,76667;0,938028;Vicino all'ER;Cytoplasm;0,269045;0,773235666;;
Q6GQQ9;OTUD7B;1,901059;1;2,170041;1;Vicino all'ER;Cytoplasm;0,268982;0,773043022;;
H0YD93;RUFY2;1,832747;1;2,101727;1;Vicino all'ER;Cytoplasm;0,26898;0,773036907;;
Q8N4Q0;PTGR3;1,186512;0,2138725;1,455329;0,3774484;Vicino all'ER;Mitochondria;0,268817;0,772538479;;
Q12899;TRIM26;1,578164;0,9167095;1,846832;1;Vicino all'ER;Cytoplasm;0,268668;0,772082861;;
F5H6Z0;CDK17;0,8564849;0,02303324;1,125052;0,0685381;Vicino all'ER;ER;0,2685671;0,771774325;;
A0A3B3ISK9;ACSF3;1,080052;0,1185239;1,348578;0,2331748;Vicino all'ER;Mitochondria;0,268526;0,771648648;Q3;x
O14561;NDUFAB1;1,047104;0,09544737;1,315596;0,1966188;Vicino all'ER;Mitochondria;0,268492;0,771544682;;
Q5VUA4;ZNF318;1,204613;0,2356983;1,473027;0,4063974;Vicino all'ER;Mitochondria;0,268414;0,771306171;;
A0A8I5KTW5;FOXRED1;1,11037;0,140615;1,378745;0,2682295;Vicino all'ER;Mitochondria;0,268375;0,771186915;;
Q96DP5;MTFMT;1,092398;0,1276158;1,360767;0,2459299;Vicino all'ER;Mitochondria;0,268369;0,771168568;;
P78368;CSNK1G2;1,290908;0,3612539;1,559257;0,5615078;Vicino all'ER;Golgi apparatus;0,268349;0,771107411;;
A0A8I5KQ30;ARL6IP6;1,109855;0,1402829;1,378193;0,2665913;Vicino all'ER;Mitochondria;0,268338;0,771073775;;
A0A8I5KT00;NCAPD3;1,240023;0,2842576;1,508344;0,4665225;Vicino all'ER;Mitochondria;0,268321;0,771021792;;
Q5T6H3;XPNPEP1;1,635585;1;1,90389;1;Vicino all'ER;Cytoplasm;0,268305;0,770972866;;
Q5T5P2;KIAA1217;0,9782029;0,05897019;1,24646;0,1359983;Vicino all'ER;Mitochondria;0,2682571;0,770826396;;
A0A0C4DGQ6;RPRD1A;1,536878;0,8382934;1,805093;1;Vicino all'ER;Cytoplasm;0,268215;0,770697661;;
Q86Y37;CACUL1;1,765823;1;2,033969;1;Vicino all'ER;Cytoplasm;0,268146;0,77048667;;
A0A087WV05;MYCBP;1,886127;1;2,15412;1;Vicino all'ER;Cytoplasm;0,267993;0,770018821;;
Q96ER9;CCDC51;1,22459;0,2612467;1,492577;0,4384485;Vicino all'ER;Mitochondria;0,267987;0,770000474;;
